performance_id,portfolio_id,as_of_date,beginning_value,ending_value,return_amount,return_percent
PERF100001,P10001,2025-09-30,1634624.32,1614134.38,-20489.94,-1.2535
PERF100002,P10001,2025-10-30,1614134.38,1574120.59,-40013.79,-2.479
PERF100003,P10001,2025-11-29,1574120.59,1623250.05,49129.46,3.1211
PERF100004,P10001,2025-12-29,1623250.05,1639342.88,16092.83,0.9914
PERF100005,P10001,2026-01-28,1639342.88,1639062.33,-280.55,-0.0171
PERF100006,P10001,2026-02-27,1639062.33,1664550.64,25488.31,1.5551
PERF100007,P10001,2026-03-29,1664550.64,1645508.02,-19042.62,-1.144
PERF100008,P10001,2026-04-28,1645508.02,1626463.04,-19044.98,-1.1574
PERF100009,P10001,2026-05-28,1626463.04,1634863.04,8400.0,0.5165
PERF100010,P10001,2026-06-27,1634863.04,1724245.68,89382.64,5.4673
PERF100011,P10001,2026-07-27,1724245.68,1708213.5,-16032.18,-0.9298
PERF100012,P10001,2026-08-26,1708213.5,1789324.78,81111.28,4.7483
PERF100013,P10002,2025-09-30,760070.36,767069.1,6998.74,0.9208
PERF100014,P10002,2025-10-30,767069.1,748688.11,-18380.99,-2.3963
PERF100015,P10002,2025-11-29,748688.11,779949.11,31261.0,4.1754
PERF100016,P10002,2025-12-29,779949.11,784382.22,4433.11,0.5684
PERF100017,P10002,2026-01-28,784382.22,820370.55,35988.33,4.5881
PERF100018,P10002,2026-02-27,820370.55,824521.63,4151.08,0.506
PERF100019,P10002,2026-03-29,824521.63,802178.06,-22343.57,-2.7099
PERF100020,P10002,2026-04-28,802178.06,823334.41,21156.35,2.6374
PERF100021,P10002,2026-05-28,823334.41,857170.91,33836.5,4.1097
PERF100022,P10002,2026-06-27,857170.91,851824.65,-5346.26,-0.6237
PERF100023,P10002,2026-07-27,851824.65,848645.88,-3178.77,-0.3732
PERF100024,P10002,2026-08-26,848645.88,823903.2,-24742.68,-2.9155
PERF100025,P10003,2025-09-30,1867530.91,1893294.29,25763.38,1.3795
PERF100026,P10003,2025-10-30,1893294.29,1978908.78,85614.49,4.522
PERF100027,P10003,2025-11-29,1978908.78,2061276.08,82367.3,4.1623
PERF100028,P10003,2025-12-29,2061276.08,2121182.57,59906.49,2.9063
PERF100029,P10003,2026-01-28,2121182.57,2223973.38,102790.81,4.8459
PERF100030,P10003,2026-02-27,2223973.38,2273774.82,49801.44,2.2393
PERF100031,P10003,2026-03-29,2273774.82,2356614.52,82839.7,3.6433
PERF100032,P10003,2026-04-28,2356614.52,2382037.72,25423.2,1.0788
PERF100033,P10003,2026-05-28,2382037.72,2324684.49,-57353.23,-2.4077
PERF100034,P10003,2026-06-27,2324684.49,2285369.97,-39314.52,-1.6912
PERF100035,P10003,2026-07-27,2285369.97,2233946.67,-51423.3,-2.2501
PERF100036,P10003,2026-08-26,2233946.67,2314667.15,80720.48,3.6134
PERF100037,P10004,2025-09-30,2241230.96,2168089.65,-73141.31,-3.2634
PERF100038,P10004,2025-10-30,2168089.65,2200311.65,32222.0,1.4862
PERF100039,P10004,2025-11-29,2200311.65,2196355.5,-3956.15,-0.1798
PERF100040,P10004,2025-12-29,2196355.5,2278344.47,81988.97,3.733
PERF100041,P10004,2026-01-28,2278344.47,2311718.17,33373.7,1.4648
PERF100042,P10004,2026-02-27,2311718.17,2358126.73,46408.56,2.0075
PERF100043,P10004,2026-03-29,2358126.73,2293889.93,-64236.8,-2.7241
PERF100044,P10004,2026-04-28,2293889.93,2277456.88,-16433.05,-0.7164
PERF100045,P10004,2026-05-28,2277456.88,2402634.0,125177.12,5.4964
PERF100046,P10004,2026-06-27,2402634.0,2473988.07,71354.07,2.9698
PERF100047,P10004,2026-07-27,2473988.07,2504449.32,30461.25,1.2313
PERF100048,P10004,2026-08-26,2504449.32,2590163.62,85714.3,3.4225
PERF100049,P10005,2025-09-30,1112612.37,1156116.12,43503.75,3.9101
PERF100050,P10005,2025-10-30,1156116.12,1123325.85,-32790.27,-2.8362
PERF100051,P10005,2025-11-29,1123325.85,1182316.38,58990.53,5.2514
PERF100052,P10005,2025-12-29,1182316.38,1209285.58,26969.2,2.281
PERF100053,P10005,2026-01-28,1209285.58,1215933.87,6648.29,0.5498
PERF100054,P10005,2026-02-27,1215933.87,1247803.26,31869.39,2.621
PERF100055,P10005,2026-03-29,1247803.26,1242819.95,-4983.31,-0.3994
PERF100056,P10005,2026-04-28,1242819.95,1297524.43,54704.48,4.4016
PERF100057,P10005,2026-05-28,1297524.43,1343227.99,45703.56,3.5224
PERF100058,P10005,2026-06-27,1343227.99,1373560.03,30332.04,2.2581
PERF100059,P10005,2026-07-27,1373560.03,1347979.79,-25580.24,-1.8623
PERF100060,P10005,2026-08-26,1347979.79,1418025.96,70046.17,5.1964
PERF100061,P10006,2025-09-30,624731.14,627189.86,2458.72,0.3936
PERF100062,P10006,2025-10-30,627189.86,656645.27,29455.41,4.6964
PERF100063,P10006,2025-11-29,656645.27,636937.48,-19707.79,-3.0013
PERF100064,P10006,2025-12-29,636937.48,621762.13,-15175.35,-2.3825
PERF100065,P10006,2026-01-28,621762.13,608562.99,-13199.14,-2.1229
PERF100066,P10006,2026-02-27,608562.99,596281.66,-12281.33,-2.0181
PERF100067,P10006,2026-03-29,596281.66,592727.5,-3554.16,-0.5961
PERF100068,P10006,2026-04-28,592727.5,609821.7,17094.2,2.884
PERF100069,P10006,2026-05-28,609821.7,607469.06,-2352.64,-0.3858
PERF100070,P10006,2026-06-27,607469.06,637648.95,30179.89,4.9681
PERF100071,P10006,2026-07-27,637648.95,666689.61,29040.66,4.5543
PERF100072,P10006,2026-08-26,666689.61,694113.24,27423.63,4.1134
PERF100073,P10007,2025-09-30,163686.33,161649.17,-2037.16,-1.2446
PERF100074,P10007,2025-10-30,161649.17,165230.53,3581.36,2.2155
PERF100075,P10007,2025-11-29,165230.53,167638.89,2408.36,1.4576
PERF100076,P10007,2025-12-29,167638.89,163660.04,-3978.85,-2.3735
PERF100077,P10007,2026-01-28,163660.04,162392.36,-1267.68,-0.7746
PERF100078,P10007,2026-02-27,162392.36,164505.58,2113.22,1.3013
PERF100079,P10007,2026-03-29,164505.58,166188.73,1683.15,1.0232
PERF100080,P10007,2026-04-28,166188.73,162894.41,-3294.32,-1.9823
PERF100081,P10007,2026-05-28,162894.41,170997.53,8103.12,4.9745
PERF100082,P10007,2026-06-27,170997.53,167385.63,-3611.9,-2.1123
PERF100083,P10007,2026-07-27,167385.63,171450.75,4065.12,2.4286
PERF100084,P10007,2026-08-26,171450.75,176569.75,5119.0,2.9857
PERF100085,P10008,2025-09-30,1659722.65,1692025.0,32302.35,1.9462
PERF100086,P10008,2025-10-30,1692025.0,1761106.49,69081.49,4.0828
PERF100087,P10008,2025-11-29,1761106.49,1788800.99,27694.5,1.5726
PERF100088,P10008,2025-12-29,1788800.99,1859049.47,70248.48,3.9271
PERF100089,P10008,2026-01-28,1859049.47,1798730.03,-60319.44,-3.2446
PERF100090,P10008,2026-02-27,1798730.03,1743134.09,-55595.94,-3.0908
PERF100091,P10008,2026-03-29,1743134.09,1782756.99,39622.9,2.2731
PERF100092,P10008,2026-04-28,1782756.99,1812902.36,30145.37,1.6909
PERF100093,P10008,2026-05-28,1812902.36,1855689.93,42787.57,2.3602
PERF100094,P10008,2026-06-27,1855689.93,1918832.21,63142.28,3.4026
PERF100095,P10008,2026-07-27,1918832.21,1923615.5,4783.29,0.2493
PERF100096,P10008,2026-08-26,1923615.5,1966914.56,43299.06,2.2509
PERF100097,P10009,2025-09-30,629057.49,635236.99,6179.5,0.9823
PERF100098,P10009,2025-10-30,635236.99,648859.5,13622.51,2.1445
PERF100099,P10009,2025-11-29,648859.5,643065.48,-5794.02,-0.893
PERF100100,P10009,2025-12-29,643065.48,675925.17,32859.69,5.1099
PERF100101,P10009,2026-01-28,675925.17,681646.9,5721.73,0.8465
PERF100102,P10009,2026-02-27,681646.9,707155.45,25508.55,3.7422
PERF100103,P10009,2026-03-29,707155.45,726000.56,18845.11,2.6649
PERF100104,P10009,2026-04-28,726000.56,720024.88,-5975.68,-0.8231
PERF100105,P10009,2026-05-28,720024.88,699552.82,-20472.06,-2.8432
PERF100106,P10009,2026-06-27,699552.82,678840.58,-20712.24,-2.9608
PERF100107,P10009,2026-07-27,678840.58,681939.14,3098.56,0.4564
PERF100108,P10009,2026-08-26,681939.14,687791.95,5852.81,0.8583
PERF100109,P10010,2025-09-30,2042633.1,2008647.92,-33985.18,-1.6638
PERF100110,P10010,2025-10-30,2008647.92,2048016.26,39368.34,1.9599
PERF100111,P10010,2025-11-29,2048016.26,2033951.35,-14064.91,-0.6868
PERF100112,P10010,2025-12-29,2033951.35,2094263.42,60312.07,2.9653
PERF100113,P10010,2026-01-28,2094263.42,2159348.89,65085.47,3.1078
PERF100114,P10010,2026-02-27,2159348.89,2251056.36,91707.47,4.247
PERF100115,P10010,2026-03-29,2251056.36,2369875.38,118819.02,5.2784
PERF100116,P10010,2026-04-28,2369875.38,2314820.7,-55054.68,-2.3231
PERF100117,P10010,2026-05-28,2314820.7,2310998.05,-3822.65,-0.1651
PERF100118,P10010,2026-06-27,2310998.05,2346930.86,35932.81,1.5549
PERF100119,P10010,2026-07-27,2346930.86,2332193.14,-14737.72,-0.628
PERF100120,P10010,2026-08-26,2332193.14,2348477.75,16284.61,0.6983
PERF100121,P10011,2025-09-30,2033966.2,2011739.93,-22226.27,-1.0928
PERF100122,P10011,2025-10-30,2011739.93,1986216.38,-25523.55,-1.2687
PERF100123,P10011,2025-11-29,1986216.38,1934004.81,-52211.57,-2.6287
PERF100124,P10011,2025-12-29,1934004.81,1916829.07,-17175.74,-0.8881
PERF100125,P10011,2026-01-28,1916829.07,1916011.51,-817.56,-0.0427
PERF100126,P10011,2026-02-27,1916011.51,1955067.43,39055.92,2.0384
PERF100127,P10011,2026-03-29,1955067.43,1930324.73,-24742.7,-1.2656
PERF100128,P10011,2026-04-28,1930324.73,2013092.57,82767.84,4.2878
PERF100129,P10011,2026-05-28,2013092.57,1971568.45,-41524.12,-2.0627
PERF100130,P10011,2026-06-27,1971568.45,1960664.15,-10904.3,-0.5531
PERF100131,P10011,2026-07-27,1960664.15,1993979.43,33315.28,1.6992
PERF100132,P10011,2026-08-26,1993979.43,1980309.39,-13670.04,-0.6856
PERF100133,P10012,2025-09-30,916601.24,947473.22,30871.98,3.3681
PERF100134,P10012,2025-10-30,947473.22,956800.05,9326.83,0.9844
PERF100135,P10012,2025-11-29,956800.05,967636.04,10835.99,1.1325
PERF100136,P10012,2025-12-29,967636.04,977204.39,9568.35,0.9888
PERF100137,P10012,2026-01-28,977204.39,970137.88,-7066.51,-0.7231
PERF100138,P10012,2026-02-27,970137.88,938206.63,-31931.25,-3.2914
PERF100139,P10012,2026-03-29,938206.63,985183.53,46976.9,5.0071
PERF100140,P10012,2026-04-28,985183.53,995518.11,10334.58,1.049
PERF100141,P10012,2026-05-28,995518.11,1047286.84,51768.73,5.2002
PERF100142,P10012,2026-06-27,1047286.84,1030910.41,-16376.43,-1.5637
PERF100143,P10012,2026-07-27,1030910.41,1027570.84,-3339.57,-0.3239
PERF100144,P10012,2026-08-26,1027570.84,996279.91,-31290.93,-3.0451
PERF100145,P10013,2025-09-30,2397311.37,2420182.87,22871.5,0.954
PERF100146,P10013,2025-10-30,2420182.87,2527664.53,107481.66,4.4411
PERF100147,P10013,2025-11-29,2527664.53,2588033.76,60369.23,2.3883
PERF100148,P10013,2025-12-29,2588033.76,2607063.1,19029.34,0.7353
PERF100149,P10013,2026-01-28,2607063.1,2641742.69,34679.59,1.3302
PERF100150,P10013,2026-02-27,2641742.69,2750702.72,108960.03,4.1246
PERF100151,P10013,2026-03-29,2750702.72,2761110.0,10407.28,0.3783
PERF100152,P10013,2026-04-28,2761110.0,2883761.31,122651.31,4.4421
PERF100153,P10013,2026-05-28,2883761.31,2971646.03,87884.72,3.0476
PERF100154,P10013,2026-06-27,2971646.03,3071930.49,100284.46,3.3747
PERF100155,P10013,2026-07-27,3071930.49,3065584.99,-6345.5,-0.2066
PERF100156,P10013,2026-08-26,3065584.99,3068811.05,3226.06,0.1052
PERF100157,P10014,2025-09-30,322590.02,327856.41,5266.39,1.6325
PERF100158,P10014,2025-10-30,327856.41,322125.14,-5731.27,-1.7481
PERF100159,P10014,2025-11-29,322125.14,326889.39,4764.25,1.479
PERF100160,P10014,2025-12-29,326889.39,317611.57,-9277.82,-2.8382
PERF100161,P10014,2026-01-28,317611.57,320909.33,3297.76,1.0383
PERF100162,P10014,2026-02-27,320909.33,331754.9,10845.57,3.3796
PERF100163,P10014,2026-03-29,331754.9,328495.36,-3259.54,-0.9825
PERF100164,P10014,2026-04-28,328495.36,346240.08,17744.72,5.4018
PERF100165,P10014,2026-05-28,346240.08,355323.99,9083.91,2.6236
PERF100166,P10014,2026-06-27,355323.99,346687.13,-8636.86,-2.4307
PERF100167,P10014,2026-07-27,346687.13,364977.46,18290.33,5.2757
PERF100168,P10014,2026-08-26,364977.46,365142.19,164.73,0.0451
PERF100169,P10015,2025-09-30,2133986.48,2211963.95,77977.47,3.6541
PERF100170,P10015,2025-10-30,2211963.95,2202049.21,-9914.74,-0.4482
PERF100171,P10015,2025-11-29,2202049.21,2311062.47,109013.26,4.9505
PERF100172,P10015,2025-12-29,2311062.47,2387204.73,76142.26,3.2947
PERF100173,P10015,2026-01-28,2387204.73,2346419.84,-40784.89,-1.7085
PERF100174,P10015,2026-02-27,2346419.84,2371810.51,25390.67,1.0821
PERF100175,P10015,2026-03-29,2371810.51,2395545.24,23734.73,1.0007
PERF100176,P10015,2026-04-28,2395545.24,2321468.52,-74076.72,-3.0923
PERF100177,P10015,2026-05-28,2321468.52,2268848.43,-52620.09,-2.2667
PERF100178,P10015,2026-06-27,2268848.43,2257444.43,-11404.0,-0.5026
PERF100179,P10015,2026-07-27,2257444.43,2274684.47,17240.04,0.7637
PERF100180,P10015,2026-08-26,2274684.47,2288625.94,13941.47,0.6129
PERF100181,P10016,2025-09-30,2037107.86,2076960.71,39852.85,1.9563
PERF100182,P10016,2025-10-30,2076960.71,2100628.75,23668.04,1.1396
PERF100183,P10016,2025-11-29,2100628.75,2089110.85,-11517.9,-0.5483
PERF100184,P10016,2025-12-29,2089110.85,2131261.02,42150.17,2.0176
