dataset_name,column_name,data_type,record_count,column_count,null_count,null_percentage,distinct_count,min_value,max_value,average_value
clients,client_id,str,50,7,0,0.0,50,,,
clients,client_name,str,50,7,0,0.0,20,,,
clients,client_type,str,50,7,0,0.0,2,,,
clients,country,str,50,7,0,0.0,6,,,
clients,risk_profile,str,50,7,0,0.0,3,,,
clients,created_date,str,50,7,0,0.0,50,,,
clients,status,str,50,7,0,0.0,2,,,
portfolios,portfolio_id,str,100,10,0,0.0,100,,,
portfolios,client_id,str,100,10,0,0.0,50,,,
portfolios,portfolio_name,str,100,10,0,0.0,5,,,
portfolios,portfolio_type,str,100,10,0,0.0,5,,,
portfolios,base_currency,str,100,10,0,0.0,6,,,
portfolios,risk_profile,str,100,10,0,0.0,3,,,
portfolios,initial_value,float64,100,10,0,0.0,100,101372.55,2498277.92,1290686.2138
portfolios,current_value,float64,100,10,0,0.0,100,104546.96,2857845.24,1376343.2644999998
portfolios,inception_date,str,100,10,0,0.0,50,,,
portfolios,status,str,100,10,0,0.0,2,,,
securities,security_id,str,120,9,0,0.0,120,,,
securities,ticker_symbol,str,120,9,0,0.0,120,,,
securities,security_name,str,120,9,0,0.0,120,,,
securities,security_type,str,120,9,0,0.0,3,,,
securities,sector,str,120,9,0,0.0,9,,,
securities,country,str,120,9,0,0.0,5,,,
securities,currency,str,120,9,0,0.0,5,,,
securities,current_price,float64,120,9,0,0.0,120,17.93,503.29,245.82799999999997
securities,status,str,120,9,0,0.0,1,,,
holdings,holding_id,str,600,8,0,0.0,600,,,
holdings,portfolio_id,str,600,8,0,0.0,100,,,
holdings,security_id,str,600,8,0,0.0,120,,,
holdings,quantity,float64,600,8,0,0.0,600,12.0256,4999.5401,2571.5906595
holdings,purchase_price,float64,600,8,0,0.0,594,14.15,532.63,228.58058333333335
holdings,current_price,float64,600,8,0,0.0,120,17.93,503.29,245.25476666666665
holdings,market_value,float64,600,8,0,0.0,600,3594.16,2334887.25,608706.8567
holdings,as_of_date,str,600,8,0,0.0,10,,,
portfolio_performance,performance_id,str,1200,7,0,0.0,1200,,,
portfolio_performance,portfolio_id,str,1200,7,0,0.0,100,,,
portfolio_performance,as_of_date,str,1200,7,0,0.0,12,,,
portfolio_performance,beginning_value,float64,1200,7,0,0.0,1200,100339.67,3071930.49,1362060.8027666665
portfolio_performance,ending_value,float64,1200,7,0,0.0,1200,100339.67,3071930.49,1375274.6570750002
portfolio_performance,return_amount,float64,1200,7,0,0.0,1200,-87864.42,135267.18,13213.854308333335
portfolio_performance,return_percent,float64,1200,7,0,0.0,1189,-3.4939,5.4991,1.0257888333333336
