security_id,ticker_symbol,security_name,security_type,sector,country,currency,current_price,status
SEC10001,AAPL,Apple Inc.,EQUITY,TECHNOLOGY,USA,USD,27.5,ACTIVE
SEC10002,MSFT,Microsoft Corp.,EQUITY,TECHNOLOGY,USA,USD,44.19,ACTIVE
SEC10003,AMZN,Amazon.com Inc.,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,60.32,ACTIVE
SEC10004,GOOGL,Alphabet Inc.,EQUITY,COMMUNICATION_SERVICES,USA,USD,66.77,ACTIVE
SEC10005,NVDA,NVIDIA Corp.,EQUITY,TECHNOLOGY,USA,USD,89.25,ACTIVE
SEC10006,TSLA,Tesla Inc.,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,102.27,ACTIVE
SEC10007,JPM,JPMorgan Chase & Co.,EQUITY,FINANCIALS,USA,USD,122.64,ACTIVE
SEC10008,JNJ,Johnson & Johnson,EQUITY,HEALTHCARE,USA,USD,134.53,ACTIVE
SEC10009,V,Visa Inc.,EQUITY,FINANCIALS,USA,USD,157.02,ACTIVE
SEC10010,PG,Procter & Gamble Co.,EQUITY,CONSUMER_STAPLES,USA,USD,184.09,ACTIVE
SEC10011,IVV,iShares Core S&P 500 ETF,ETF,INDEX,USA,USD,189.94,ACTIVE
SEC10012,VTI,Vanguard Total Stock Market ETF,ETF,INDEX,USA,USD,215.62,ACTIVE
SEC10013,VGK,Vanguard FTSE Europe ETF,ETF,INDEX,USA,USD,227.72,ACTIVE
SEC10014,EEM,iShares MSCI Emerging Markets ETF,ETF,INDEX,USA,USD,244.58,ACTIVE
SEC10015,QQQ,Invesco QQQ,ETF,TECHNOLOGY,USA,USD,270.5,ACTIVE
SEC10016,ACB25,Apple Corporate Bond,BOND,CORPORATE_BONDS,USA,USD,288.48,ACTIVE
SEC10017,GGB25,Global Government Bond,BOND,GOVERNMENT,UK,GBP,298.81,ACTIVE
SEC10018,IGB25,India Government Bond,BOND,GOVERNMENT,INDIA,INR,318.78,ACTIVE
SEC10019,EIB25,European Investment Bond,BOND,GOVERNMENT,GERMANY,EUR,327.14,ACTIVE
SEC10020,STB25,Singapore Treasury Bond,BOND,GOVERNMENT,SINGAPORE,SGD,346.78,ACTIVE
SEC10021,AAPL2,Apple Inc. Series 2,EQUITY,TECHNOLOGY,USA,USD,374.9,ACTIVE
SEC10022,MSFT2,Microsoft Corp. Series 2,EQUITY,TECHNOLOGY,USA,USD,386.04,ACTIVE
SEC10023,AMZN2,Amazon.com Inc. Series 2,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,402.82,ACTIVE
SEC10024,GOOGL2,Alphabet Inc. Series 2,EQUITY,COMMUNICATION_SERVICES,USA,USD,423.48,ACTIVE
SEC10025,NVDA2,NVIDIA Corp. Series 2,EQUITY,TECHNOLOGY,USA,USD,429.79,ACTIVE
SEC10026,TSLA2,Tesla Inc. Series 2,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,455.6,ACTIVE
SEC10027,JPM2,JPMorgan Chase & Co. Series 2,EQUITY,FINANCIALS,USA,USD,471.67,ACTIVE
SEC10028,JNJ2,Johnson & Johnson Series 2,EQUITY,HEALTHCARE,USA,USD,494.63,ACTIVE
SEC10029,V2,Visa Inc. Series 2,EQUITY,FINANCIALS,USA,USD,20.88,ACTIVE
SEC10030,PG2,Procter & Gamble Co. Series 2,EQUITY,CONSUMER_STAPLES,USA,USD,51.1,ACTIVE
SEC10031,IVV2,iShares Core S&P 500 ETF Series 2,ETF,INDEX,USA,USD,54.38,ACTIVE
SEC10032,VTI2,Vanguard Total Stock Market ETF Series 2,ETF,INDEX,USA,USD,73.44,ACTIVE
SEC10033,VGK2,Vanguard FTSE Europe ETF Series 2,ETF,INDEX,USA,USD,97.36,ACTIVE
SEC10034,EEM2,iShares MSCI Emerging Markets ETF Series 2,ETF,INDEX,USA,USD,116.01,ACTIVE
SEC10035,QQQ2,Invesco QQQ Series 2,ETF,TECHNOLOGY,USA,USD,126.34,ACTIVE
SEC10036,ACB252,Apple Corporate Bond Series 2,BOND,CORPORATE_BONDS,USA,USD,141.87,ACTIVE
SEC10037,GGB252,Global Government Bond Series 2,BOND,GOVERNMENT,UK,GBP,171.56,ACTIVE
SEC10038,IGB252,India Government Bond Series 2,BOND,GOVERNMENT,INDIA,INR,178.63,ACTIVE
SEC10039,EIB252,European Investment Bond Series 2,BOND,GOVERNMENT,GERMANY,EUR,201.57,ACTIVE
SEC10040,STB252,Singapore Treasury Bond Series 2,BOND,GOVERNMENT,SINGAPORE,SGD,219.34,ACTIVE
SEC10041,AAPL3,Apple Inc. Series 3,EQUITY,TECHNOLOGY,USA,USD,233.51,ACTIVE
SEC10042,MSFT3,Microsoft Corp. Series 3,EQUITY,TECHNOLOGY,USA,USD,253.51,ACTIVE
SEC10043,AMZN3,Amazon.com Inc. Series 3,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,269.9,ACTIVE
SEC10044,GOOGL3,Alphabet Inc. Series 3,EQUITY,COMMUNICATION_SERVICES,USA,USD,293.87,ACTIVE
SEC10045,NVDA3,NVIDIA Corp. Series 3,EQUITY,TECHNOLOGY,USA,USD,299.55,ACTIVE
SEC10046,TSLA3,Tesla Inc. Series 3,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,325.11,ACTIVE
SEC10047,JPM3,JPMorgan Chase & Co. Series 3,EQUITY,FINANCIALS,USA,USD,334.84,ACTIVE
SEC10048,JNJ3,Johnson & Johnson Series 3,EQUITY,HEALTHCARE,USA,USD,354.72,ACTIVE
SEC10049,V3,Visa Inc. Series 3,EQUITY,FINANCIALS,USA,USD,376.51,ACTIVE
SEC10050,PG3,Procter & Gamble Co. Series 3,EQUITY,CONSUMER_STAPLES,USA,USD,387.93,ACTIVE
SEC10051,IVV3,iShares Core S&P 500 ETF Series 3,ETF,INDEX,USA,USD,405.56,ACTIVE
SEC10052,VTI3,Vanguard Total Stock Market ETF Series 3,ETF,INDEX,USA,USD,429.9,ACTIVE
SEC10053,VGK3,Vanguard FTSE Europe ETF Series 3,ETF,INDEX,USA,USD,436.4,ACTIVE
SEC10054,EEM3,iShares MSCI Emerging Markets ETF Series 3,ETF,INDEX,USA,USD,459.94,ACTIVE
SEC10055,QQQ3,Invesco QQQ Series 3,ETF,TECHNOLOGY,USA,USD,485.96,ACTIVE
SEC10056,ACB253,Apple Corporate Bond Series 3,BOND,CORPORATE_BONDS,USA,USD,503.29,ACTIVE
SEC10057,GGB253,Global Government Bond Series 3,BOND,GOVERNMENT,UK,GBP,25.89,ACTIVE
SEC10058,IGB253,India Government Bond Series 3,BOND,GOVERNMENT,INDIA,INR,45.5,ACTIVE
SEC10059,EIB253,European Investment Bond Series 3,BOND,GOVERNMENT,GERMANY,EUR,63.7,ACTIVE
SEC10060,STB253,Singapore Treasury Bond Series 3,BOND,GOVERNMENT,SINGAPORE,SGD,91.76,ACTIVE
SEC10061,AAPL4,Apple Inc. Series 4,EQUITY,TECHNOLOGY,USA,USD,108.29,ACTIVE
SEC10062,MSFT4,Microsoft Corp. Series 4,EQUITY,TECHNOLOGY,USA,USD,125.64,ACTIVE
SEC10063,AMZN4,Amazon.com Inc. Series 4,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,134.85,ACTIVE
SEC10064,GOOGL4,Alphabet Inc. Series 4,EQUITY,COMMUNICATION_SERVICES,USA,USD,148.83,ACTIVE
SEC10065,NVDA4,NVIDIA Corp. Series 4,EQUITY,TECHNOLOGY,USA,USD,177.02,ACTIVE
SEC10066,TSLA4,Tesla Inc. Series 4,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,192.31,ACTIVE
SEC10067,JPM4,JPMorgan Chase & Co. Series 4,EQUITY,FINANCIALS,USA,USD,208.21,ACTIVE
SEC10068,JNJ4,Johnson & Johnson Series 4,EQUITY,HEALTHCARE,USA,USD,231.59,ACTIVE
SEC10069,V4,Visa Inc. Series 4,EQUITY,FINANCIALS,USA,USD,243.62,ACTIVE
SEC10070,PG4,Procter & Gamble Co. Series 4,EQUITY,CONSUMER_STAPLES,USA,USD,250.66,ACTIVE
SEC10071,IVV4,iShares Core S&P 500 ETF Series 4,ETF,INDEX,USA,USD,280.97,ACTIVE
SEC10072,VTI4,Vanguard Total Stock Market ETF Series 4,ETF,INDEX,USA,USD,290.06,ACTIVE
SEC10073,VGK4,Vanguard FTSE Europe ETF Series 4,ETF,INDEX,USA,USD,313.25,ACTIVE
SEC10074,EEM4,iShares MSCI Emerging Markets ETF Series 4,ETF,INDEX,USA,USD,335.03,ACTIVE
SEC10075,QQQ4,Invesco QQQ Series 4,ETF,TECHNOLOGY,USA,USD,339.53,ACTIVE
SEC10076,ACB254,Apple Corporate Bond Series 4,BOND,CORPORATE_BONDS,USA,USD,356.6,ACTIVE
SEC10077,GGB254,Global Government Bond Series 4,BOND,GOVERNMENT,UK,GBP,373.83,ACTIVE
SEC10078,IGB254,India Government Bond Series 4,BOND,GOVERNMENT,INDIA,INR,398.34,ACTIVE
SEC10079,EIB254,European Investment Bond Series 4,BOND,GOVERNMENT,GERMANY,EUR,411.22,ACTIVE
SEC10080,STB254,Singapore Treasury Bond Series 4,BOND,GOVERNMENT,SINGAPORE,SGD,433.91,ACTIVE
SEC10081,AAPL5,Apple Inc. Series 5,EQUITY,TECHNOLOGY,USA,USD,453.08,ACTIVE
SEC10082,MSFT5,Microsoft Corp. Series 5,EQUITY,TECHNOLOGY,USA,USD,462.23,ACTIVE
SEC10083,AMZN5,Amazon.com Inc. Series 5,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,486.49,ACTIVE
SEC10084,GOOGL5,Alphabet Inc. Series 5,EQUITY,COMMUNICATION_SERVICES,USA,USD,17.93,ACTIVE
SEC10085,NVDA5,NVIDIA Corp. Series 5,EQUITY,TECHNOLOGY,USA,USD,38.9,ACTIVE
SEC10086,TSLA5,Tesla Inc. Series 5,EQUITY,CONSUMER_DISCRETIONARY,USA,USD,62.94,ACTIVE
SEC10087,JPM5,JPMorgan Chase & Co. Series 5,EQUITY,FINANCIALS,USA,USD,79.36,ACTIVE
SEC10088,JNJ5,Johnson & Johnson Series 5,EQUITY,HEALTHCARE,USA,USD,84.67,ACTIVE
SEC10089,V5,Visa Inc. Series 5,EQUITY,FINANCIALS,USA,USD,107.34,ACTIVE
SEC10090,PG5,Procter & Gamble Co. Series 5,EQUITY,CONSUMER_STAPLES,USA,USD,122.36,ACTIVE
SEC10091,IVV5,iShares Core S&P 500 ETF Series 5,ETF,INDEX,USA,USD,135.36,ACTIVE
SEC10092,VTI5,Vanguard Total Stock Market ETF Series 5,ETF,INDEX,USA,USD,165.01,ACTIVE
SEC10093,VGK5,Vanguard FTSE Europe ETF Series 5,ETF,INDEX,USA,USD,180.23,ACTIVE
SEC10094,EEM5,iShares MSCI Emerging Markets ETF Series 5,ETF,INDEX,USA,USD,191.6,ACTIVE
SEC10095,QQQ5,Invesco QQQ Series 5,ETF,TECHNOLOGY,USA,USD,216.64,ACTIVE
SEC10096,ACB255,Apple Corporate Bond Series 5,BOND,CORPORATE_BONDS,USA,USD,230.98,ACTIVE
SEC10097,GGB255,Global Government Bond Series 5,BOND,GOVERNMENT,UK,GBP,246.36,ACTIVE
SEC10098,IGB255,India Government Bond Series 5,BOND,GOVERNMENT,INDIA,INR,257.04,ACTIVE
